,Quantity
1,67658
2,52458
12,47518
6,30985
4,27489
3,24070
24,18827
10,17772
8,9054
5,7364
48,4660
25,4222
20,3829
16,3095
36,2983
100,1390
72,1386
18,1231
96,1216
7,1174
9,989
30,885
40,861
32,820
50,707
144,615
60,473
15,390
120,388
11,307
200,272
192,220
14,218
13,187
64,180
80,149
288,139
240,119
108,99
300,89
28,85
216,81
432,70
600,67
19,67
160,66
17,66
128,63
480,62
22,56
150,54
21,51
27,46
360,44
42,41
75,39
720,38
400,36
26,35
90,32
576,31
84,29
180,29
23,29
384,26
54,25
500,25
250,22
56,16
33,16
70,16
320,16
29,16
1200,15
35,15
168,15
504,14
324,13
408,13
864,13
112,13
204,10
125,10
252,10
34,10
78,9
1000,9
45,9
256,9
960,8
41,8
1296,8
46,7
52,7
156,7
280,7
44,6
38,6
66,6
62,6
31,6
1440,6
1152,6
83,6
43,6
39,6
47,6
126,5
456,5
700,5
114,5
88,5
312,5
336,5
37,5
416,5
132,5
130,5
800,4
270,4
612,4
104,4
2000,4
53,4
1008,4
63,4
350,4
220,4
110,4
140,4
224,4
2400,3
264,3
222,3
840,3
744,3
65,3
49,3
186,3
51,3
900,3
152,3
624,3
696,3
58,3
378,3
420,3
330,2
768,2
304,2
76,2
1056,2
276,2
74,2
1600,2
272,2
3114,2
540,2
2880,2
1300,2
57,2
255,2
151,2
121,2
352,2
102,2
228,2
109,2
888,2
208,2
124,2
496,2
972,2
198,2
1930,2
396,2
1728,2
1944,2
236,2
468,2
248,2
89,2
85,2
86,2
756,2
670,2
232,1
230,1
196,1
74215,1
4800,1
1020,1
450,1
512,1
1010,1
701,1
188,1
3000,1
183,1
176,1
430,1
684,1
774,1
428,1
162,1
1824,1
672,1
708,1
760,1
968,1
2592,1
261,1
244,1
1540,1
227,1
738,1
992,1
1500,1
528,1
210,1
1992,1
273,1
1284,1
234,1
462,1
1515,1
4300,1
246,1
492,1
494,1
852,1
157,1
95,1
828,1
1394,1
2160,1
1900,1
832,1
101,1
98,1
1788,1
67,1
323,1
3906,1
69,1
291,1
93,1
1350,1
860,1
348,1
92,1
87,1
1878,1
588,1
1356,1
342,1
79,1
115,1
3186,1
116,1
824,1
666,1
410,1
81,1
1428,1
552,1
660,1
147,1
402,1
2700,1
141,1
139,1
906,1
648,1
392,1
560,1
136,1
1412,1
306,1
129,1
2100,1
1400,1
55,1
630,1
608,1
