Name,Bank Holiday,Date
New Year's Day,1,1/1/2009
Robert Burns Night (Burns Night),0,25/1/2009
Holocaust Memorial Day,0,27/1/2009
Valentines Day,0,14/2/2009
Shrove Tuesday (Pancake Day),0,24/2/2009
Ash Wednesday,0,25/2/2009
St David's Day,0,1/3/2009
St Patricks Day,0,17/3/2009
Mothering Sunday (Mothers Day),0,22/3/2009
British Summertime (BST) Begins,0,29/3/2009
April Fool's Day,0,1/4/2009
Maundy Thursday,0,9/4/2009
Good Friday,1,10/4/2009
Easter Sunday,0,12/4/2009
Easter Monday,1,13/4/2009
Queen Elizabeth's Birthday,0,21/4/2009
St George's Day,0,23/4/2009
May Day (Early May Bank Holiday),1,4/5/2009
Spring Bank Holiday,1,25/5/2009
Trooping the Colour,0,14/6/2009
Father's Day,0,21/6/2009
Emmeline Pankhurst Day,0,14/7/2009
St.Swithun's Day (aka St. Swithin's),0,15/7/2009
Summer Bank Holiday,1,31/8/2009
British Summertime (BST) Ends,0,25/10/2009
Halloween,0,31/10/2009
All Saints Day,0,1/11/2009
Guy Fawkes Night,0,5/11/2009
Remembrance Day (Remembrance Sunday),0,8/11/2009
St Andrew's Day,0,30/11/2009
Christmas,1,25/12/2009
Boxing Day,1,28/12/2009
New Year's Day,1,1/1/2010
Robert Burns Night,0,25/1/2010
Holocaust Memorial Day,0,27/1/2010
Valentines Day,0,14/2/2010
Shrove Tuesday,0,16/2/2010
Ash Wednesday,0,17/2/2010
St David's Day,0,1/3/2010
Mothering Sunday,0,14/3/2010
St Patricks Day,0,17/3/2010
British Summertime Begins,0,28/3/2010
April Fool's Day,0,1/4/2010
Maundy Thursday,0,1/4/2010
Good Friday,1,2/4/2010
Easter Sunday,0,4/4/2010
Easter Monday,1,5/4/2010
Queen Elizabeth's Birthday,0,21/4/2010
St George's Day,0,23/4/2010
May Day,1,3/5/2010
Spring Bank Holiday,1,31/5/2010
Trooping the Colour,0,14/6/2010
Father's Day,0,20/6/2010
Emmeline Pankhurst Day,0,14/7/2010
St.Swithun's Day ,0,15/7/2010
Summer Bank Holiday,1,30/8/2010
British Summertime Ends,0,31/10/2010
Halloween,0,31/10/2010
All Saints Day,0,1/11/2010
Guy Fawkes Night,0,5/11/2010
Remembrance Day,0,14/11/2010
St Andrew's Day,0,30/11/2010
Boxing Day,1,27/12/2010
Christmas,1,28/12/2010
Hogmanay,0,2/1/2011
New Year's Day,1,3/1/2011
Robert Burns Night,0,25/1/2011
Holocaust Memorial Day,0,27/1/2011
Valentines Day,0,14/2/2011
St David's Day,0,1/3/2011
Shrove Tuesday,0,8/3/2011
Ash Wednesday,0,9/3/2011
St Patricks Day,0,17/3/2011
British Summertime Begins,0,27/3/2011
April Fool's Day,0,1/4/2011
Mothering Sunday,0,3/4/2011
Maundy Thursday,0,21/4/2011
Good Friday,1,22/4/2011
St George's Day,0,23/4/2011
Easter Sunday,0,24/4/2011
Easter Monday,1,25/4/2011
May Day,1,2/5/2011
Spring Bank Holiday,1,30/5/2011
Trooping the Colour,0,14/6/2011
Father's Day,0,19/6/2011
Emmeline Pankhurst Day,0,14/7/2011
St.Swithun's Day,0,15/7/2011
Summer Bank Holiday,1,29/8/2011
British Summertime Ends,0,30/10/2011
Halloween,0,31/10/2011
All Saints Day,0,1/11/2011
Guy Fawkes Night,0,5/11/2011
Remembrance Day ,0,13/11/2011
St Andrew's Day,0,30/11/2011
Boxing Day,1,26/12/2011
Christmas,1,27/12/2011
Hogmanay,0,1/1/2012
New Year's Day,1,2/1/2012
Robert Burns Night (Burns Night),0,25/1/2012
Holocaust Memorial Day,0,27/1/2012
Valentines Day,0,14/2/2012
Shrove Tuesday (Pancake Day),0,21/2/2012
Ash Wednesday,0,22/2/2012
St David's Day,0,1/3/2012
St Patricks Day,0,17/3/2012
Mothering Sunday (Mothers Day),0,18/3/2012
British Summertime (BST) Begins,0,25/3/2012
April Fool's Day,0,1/4/2012
Maundy Thursday,0,5/4/2012
Good Friday,1,6/4/2012
Easter Sunday,0,8/4/2012
Easter Monday,1,9/4/2012
Queen Elizabeth's Birthday,0,21/4/2012
St George's Day,0,23/4/2012
May Day (Early May Bank Holiday),1,7/5/2012
Spring Bank Holiday,1,28/5/2012
Trooping the Colour,0,14/6/2012
Father's Day,0,17/6/2012
Emmeline Pankhurst Day,0,14/7/2012
St.Swithun's Day (aka St. Swithin's),0,15/7/2012
Summer Bank Holiday,1,27/8/2012
British Summertime (BST) Ends,0,28/10/2012
Halloween,0,31/10/2012
All Saints Day,0,1/11/2012
Guy Fawkes Night,0,5/11/2012
St Andrew's Day,0,30/11/2012
Christmas,1,25/12/2012
Boxing Day,1,26/12/2012
New Year's Day,1,1/1/2013
Robert Burns Night (Burns Night),0,25/1/2013
Holocaust Memorial Day,0,27/1/2013
Shrove Tuesday (Pancake Day),0,12/2/2013
Ash Wednesday,0,13/2/2013
Valentines Day,0,14/2/2013
St David's Day,0,1/3/2013
Mothering Sunday (Mothers Day),0,10/3/2013
St Patricks Day,0,17/3/2013
Maundy Thursday,0,28/3/2013
Good Friday,1,29/3/2013
British Summertime (BST) Begins,0,31/3/2013
Easter Sunday,0,31/3/2013
April Fool's Day,0,1/4/2013
Easter Monday,1,1/4/2013
Queen Elizabeth's Birthday,0,21/4/2013
St George's Day,0,23/4/2013
May Day (Early May Bank Holiday),1,6/5/2013
Spring Bank Holiday,1,27/5/2013
Trooping the Colour,0,14/6/2013
Father's Day,0,16/6/2013
Emmeline Pankhurst Day,0,14/7/2013
St.Swithun's Day (aka St. Swithin's),0,15/7/2013
Summer Bank Holiday,1,26/8/2013
British Summertime (BST) Ends,0,27/10/2013
Halloween,0,31/10/2013
All Saints Day,0,1/11/2013
Guy Fawkes Night,0,5/11/2013
Remembrance Day (Remembrance Sunday),0,10/11/2013
St Andrew's Day,0,30/11/2013
